date,actual,date,forecast
1980-03-17,275.0,,
1980-03-18,275.0,,
1980-03-19,275.0,,
1980-03-20,275.0,,
1980-03-21,285.0,,
1980-03-24,285.0,,
1980-03-25,285.0,,
1980-03-26,285.0,,
1980-03-27,285.0,,
1980-03-28,285.0,,
1980-03-31,305.0,,
1980-04-01,305.0,,
1980-04-02,310.0,,
1980-04-03,310.0,,
1980-04-07,310.0,,
1980-04-08,310.0,,
1980-04-09,315.0,,
1980-04-10,315.0,,
1980-04-11,315.0,,
1980-04-14,315.0,,
1980-04-15,320.0,,
1980-04-16,320.0,,
1980-04-17,320.0,,
1980-04-18,310.0,,
1980-04-21,310.0,,
1980-04-22,310.0,,
1980-04-23,310.0,,
1980-04-24,310.0,,
1980-04-25,310.0,,
1980-04-28,315.0,,
1980-04-29,315.0,,
1980-04-30,320.0,,
1980-05-01,320.0,,
1980-05-02,320.0,,
1980-05-05,320.0,,
1980-05-06,320.0,,
1980-05-07,320.0,,
1980-05-08,310.0,,
1980-05-09,310.0,,
1980-05-12,310.0,,
1980-05-13,310.0,,
1980-05-14,310.0,,
1980-05-15,305.0,,
1980-05-16,305.0,,
1980-05-19,305.0,,
1980-05-20,305.0,,
1980-05-21,305.0,,
1980-05-22,310.0,,
1980-05-23,310.0,,
1980-05-27,310.0,,
1980-05-28,315.0,,
1980-05-29,320.0,,
1980-05-30,325.0,,
1980-06-02,335.0,,
1980-06-03,330.0,,
1980-06-04,325.0,,
1980-06-05,325.0,,
1980-06-06,325.0,,
1980-06-09,325.0,,
1980-06-10,325.0,,
1980-06-11,340.0,,
1980-06-12,340.0,,
1980-06-13,340.0,,
1980-06-16,340.0,,
1980-06-17,340.0,,
1980-06-18,340.0,,
1980-06-19,340.0,,
1980-06-20,345.0,,
1980-06-23,345.0,,
1980-06-24,345.0,,
1980-06-25,345.0,,
1980-06-26,360.0,,
1980-06-27,365.0,,
1980-06-30,375.0,,
1980-07-01,375.0,,
1980-07-02,375.0,,
1980-07-03,375.0,,
1980-07-07,370.0,,
1980-07-08,370.0,,
1980-07-09,370.0,,
1980-07-10,385.0,,
1980-07-11,390.0,,
1980-07-14,390.0,,
1980-07-15,385.0,,
1980-07-16,385.0,,
1980-07-17,380.0,,
1980-07-18,380.0,,
1980-07-21,380.0,,
1980-07-22,380.0,,
1980-07-23,380.0,,
1980-07-24,380.0,,
1980-07-25,390.0,,
1980-07-28,390.0,,
1980-07-29,390.0,,
1980-07-30,400.0,,
1980-07-31,400.0,,
1980-08-01,400.0,,
1980-08-04,400.0,,
1980-08-05,400.0,,
1980-08-06,400.0,,
1980-08-07,400.0,,
1980-08-08,400.0,,
1980-08-11,400.0,,
1980-08-12,390.0,,
1980-08-13,385.0,,
1980-08-14,385.0,,
1980-08-15,385.0,,
1980-08-18,385.0,,
1980-08-19,385.0,,
1980-08-20,385.0,,
1980-08-21,385.0,,
1980-08-22,390.0,,
1980-08-25,390.0,,
1980-08-26,390.0,,
1980-08-27,390.0,,
1980-08-28,390.0,,
1980-08-29,390.0,,
1980-09-02,400.0,,
1980-09-03,400.0,,
1980-09-04,405.0,,
1980-09-05,410.0,,
1980-09-08,410.0,,
1980-09-09,425.0,,
1980-09-10,425.0,,
1980-09-11,425.0,,
1980-09-12,425.0,,
1980-09-15,420.0,,
1980-09-16,420.0,,
1980-09-17,420.0,,
1980-09-18,420.0,,
1980-09-19,420.0,,
1980-09-22,405.0,,
1980-09-23,410.0,,
1980-09-24,410.0,,
1980-09-25,410.0,,
1980-09-26,410.0,,
1980-09-29,410.0,,
1980-09-30,410.0,,
1980-10-01,400.0,,
1980-10-02,400.0,,
1980-10-03,410.0,,
1980-10-06,410.0,,
1980-10-07,420.0,,
1980-10-08,420.0,,
1980-10-09,430.0,,
1980-10-10,430.0,,
1980-10-13,430.0,,
1980-10-14,430.0,,
1980-10-15,430.0,,
1980-10-16,450.0,,
1980-10-17,450.0,,
1980-10-20,450.0,,
1980-10-21,460.0,,
1980-10-22,460.0,,
1980-10-23,470.0,,
1980-10-24,470.0,,
1980-10-27,455.0,,
1980-10-28,425.0,,
1980-10-29,425.0,,
1980-10-30,425.0,,
1980-10-31,425.0,,
1980-11-03,425.0,,
1980-11-05,425.0,,
1980-11-06,425.0,,
1980-11-07,425.0,,
1980-11-10,425.0,,
1980-11-11,420.0,,
1980-11-12,420.0,,
1980-11-13,420.0,,
1980-11-14,425.0,,
1980-11-17,425.0,,
1980-11-18,425.0,,
1980-11-19,425.0,,
1980-11-20,425.0,,
1980-11-21,430.0,,
1980-11-24,425.0,,
1980-11-25,425.0,,
1980-11-26,425.0,,
1980-11-28,425.0,,
1980-12-01,425.0,,
1980-12-02,425.0,,
1980-12-03,425.0,,
1980-12-04,425.0,,
1980-12-05,425.0,,
1980-12-08,425.0,,
1980-12-09,425.0,,
1980-12-10,430.0,,
1980-12-11,430.0,,
1980-12-12,430.0,,
1980-12-15,430.0,,
1980-12-16,430.0,,
1980-12-17,430.0,,
1980-12-18,430.0,,
1980-12-19,430.0,,
1980-12-22,430.0,,
1980-12-23,430.0,,
1980-12-24,430.0,,
1980-12-26,430.0,,
1980-12-29,430.0,,
1980-12-30,430.0,,
1980-12-31,430.0,,
1981-01-02,425.0,,
1981-01-05,425.0,,
1981-01-06,425.0,,
1981-01-07,425.0,,
1981-01-08,425.0,,
1981-01-09,435.0,,
1981-01-12,445.0,,
1981-01-13,455.0,,
1981-01-14,480.0,,
1981-01-15,485.0,,
1981-01-16,485.0,,
1981-01-19,485.0,,
1981-01-20,485.0,,
1981-01-21,485.0,,
1981-01-22,485.0,,
1981-01-23,485.0,,
1981-01-26,485.0,,
1981-01-27,485.0,,
1981-01-28,485.0,,
1981-01-29,485.0,,
1981-01-30,485.0,,
1981-02-02,480.0,,
1981-02-03,480.0,,
1981-02-04,475.0,,
1981-02-05,475.0,,
1981-02-06,475.0,,
1981-02-09,475.0,,
1981-02-10,475.0,,
1981-02-11,480.0,,
1981-02-12,480.0,,
1981-02-13,480.0,,
1981-02-17,480.0,,
1981-02-18,485.0,,
1981-02-19,495.0,,
1981-02-20,495.0,,
1981-02-23,495.0,,
1981-02-24,495.0,,
1981-02-25,490.0,,
1981-02-26,500.0,,
1981-02-27,500.0,,
1981-03-02,500.0,,
1981-03-03,500.0,,
1981-03-04,495.0,,
1981-03-05,490.0,,
1981-03-06,490.0,,
1981-03-09,495.0,,
1981-03-10,495.0,,
1981-03-11,500.0,,
1981-03-12,500.0,,
1981-03-13,510.0,,
1981-03-16,510.0,,
1981-03-17,515.0,,
1981-03-18,515.0,,
1981-03-19,515.0,,
1981-03-20,520.0,,
1981-03-23,520.0,,
